Country,Region,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Population,Ranking_unemployment,Ranking_median_age,Gini coefficient,Average Temperature,Liters of pure alcohol
Mexico,North America,6.33,9.85,0.804,65.8,0.856,-0.094,0.768,"129,875,529",39.0,128.0,45.4,21.7,4.25
Malta,Europe,6.3,10.661,0.923,71.6,0.886,0.119,0.729,"467,138",54.0,35.0,31.0,20.26,8.07
Panama,Central America and the Caribbean,6.265,10.305,0.896,68.95,0.855,-0.133,0.878,"4,404,108",137.0,125.0,49.8,25.33,6.54
Poland,Europe,6.26,10.453,0.925,69.049,0.765,-0.031,0.736,"37,991,766",43.0,40.0,30.2,9.7,10.96
Nicaragua,Central America and the Caribbean,6.259,8.618,0.853,65.65,0.877,0.021,0.625,"6,359,689",93.0,146.0,46.2,25.81,3.69
Latvia,Europe,6.213,10.37,0.937,66.4,0.818,-0.056,0.83,"1,821,750",136.0,16.0,34.5,7.4,12.9
Bahrain,Middle East,6.173,10.776,0.844,65.825,0.944,0.117,0.737,"1,553,886",11.0,108.0,n/a,28.84,1.18
Guatemala,Central America and the Caribbean,6.15,9.116,0.812,62.9,0.856,-0.057,0.837,"17,980,803",36.0,172.0,48.3,23.77,1.63
Kazakhstan,Central Asia,6.144,10.166,0.931,65.802,0.853,0.0,0.721,"19,543,464",95.0,117.0,27.8,8.06,3.73
Serbia,Europe,6.144,9.854,0.873,67.088,0.845,0.204,0.816,"6,693,375",156.0,34.0,34.5,12.56,7.45
Cyprus,Europe,6.13,10.611,0.826,72.802,0.724,-0.06,0.86,"1,308,120",123.0,65.0,31.2,19.33,9.59
Japan,East and Southeast Asia,6.129,10.616,0.894,74.349,0.799,-0.237,0.64,"123,719,238",31.0,3.0,32.9,12.42,8.36
Croatia,Europe,6.125,10.341,0.917,68.95,0.757,-0.093,0.925,"4,169,239",126.0,22.0,28.9,13.16,9.64
Brazil,South America,6.125,9.582,0.836,65.749,0.801,-0.009,0.738,"218,689,757",148.0,99.0,48.9,25.54,6.12
El Salvador,Central America and the Caribbean,6.122,9.089,0.755,65.597,0.918,-0.108,0.62,"6,602,370",38.0,141.0,38.8,25.23,2.94
Hungary,Europe,6.041,10.419,0.943,67.5,0.758,-0.059,0.839,"9,670,009",82.0,27.0,30.0,12.62,10.79
Argentina,South America,6.024,9.959,0.891,67.2,0.823,-0.089,0.814,"46,621,847",130.0,110.0,42.3,15.07,7.95
Honduras,Central America and the Caribbean,6.023,8.635,0.766,64.063,0.843,0.097,0.843,"9,571,352",127.0,166.0,48.2,24.71,2.73
Uzbekistan,Central Asia,6.014,8.948,0.875,65.301,0.938,0.23,0.638,"31,360,836",90.0,145.0,36.8,14.86,2.45
Malaysia,East and Southeast Asia,6.012,10.169,0.799,65.662,0.877,0.16,0.758,"34,219,975",75.0,119.0,41.1,26.35,0.64
Portugal,Europe,5.968,10.429,0.878,71.25,0.902,-0.196,0.878,"10,223,150",135.0,11.0,32.8,16.9,10.37
South Korea,n/a,5.951,10.693,0.812,73.65,0.717,-0.046,0.701,n/a,n/a,n/a,n/a,12.76,n/a
Greece,Europe,5.931,10.288,0.835,71.15,0.568,-0.24,0.793,"10,497,595",173.0,10.0,33.1,14.88,6.33
Mauritius,Africa,5.902,9.957,0.888,63.85,0.813,-0.028,0.775,"1,309,448",128.0,64.0,36.8,23.27,3.39
Thailand,East and Southeast Asia,5.843,9.751,0.874,68.45,0.85,0.289,0.91,"69,794,997",5.0,53.0,35.0,26.78,6.86
Mongolia,East and Southeast Asia,5.84,9.372,0.933,60.5,0.701,0.19,0.849,"3,255,468",129.0,124.0,32.7,1.31,5.46
Kyrgyzstan,Central Asia,5.825,8.486,0.911,66.852,0.934,0.181,0.904,"6,122,781",78.0,148.0,29.0,3.93,4.02
Moldova,Europe,5.819,9.499,0.857,65.299,0.84,-0.08,0.901,"3,250,532",18.0,63.0,26.0,11.9,7.45
China,East and Southeast Asia,5.818,9.738,0.836,68.689,0.882,-0.041,0.727,"1,413,142,846",92.0,62.0,38.2,8.1,4.48
