Country,Region,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Population,Ranking_unemployment,Ranking_median_age,Gini coefficient,Average Temperature
Uzbekistan,Central Asia,6.014,8.948,0.875,65.301,0.938,0.23,0.638,"31,360,836",90,145,36.8,14.86
Malaysia,East and Southeast Asia,6.012,10.169,0.799,65.662,0.877,0.16,0.758,"34,219,975",75,119,41.1,26.35
Portugal,Europe,5.968,10.429,0.878,71.25,0.902,-0.196,0.878,"10,223,150",135,11,32.8,16.9
South Korea,n/a,5.951,10.693,0.812,73.65,0.717,-0.046,0.701,n/a,n/a,n/a,n/a,12.76
Greece,Europe,5.931,10.288,0.835,71.15,0.568,-0.24,0.793,"10,497,595",173,10,33.1,14.88
Mauritius,Africa,5.902,9.957,0.888,63.85,0.813,-0.028,0.775,"1,309,448",128,64,36.8,23.27
Thailand,East and Southeast Asia,5.843,9.751,0.874,68.45,0.85,0.289,0.91,"69,794,997",5,53,35,26.78
Mongolia,East and Southeast Asia,5.84,9.372,0.933,60.5,0.701,0.19,0.849,"3,255,468",129,124,32.7,1.31
Kyrgyzstan,Central Asia,5.825,8.486,0.911,66.852,0.934,0.181,0.904,"6,122,781",78,148,29,3.93
Moldova,Europe,5.819,9.499,0.857,65.299,0.84,-0.08,0.901,"3,250,532",18,63,26,11.9
China,East and Southeast Asia,5.818,9.738,0.836,68.689,0.882,-0.041,0.727,"1,413,142,846",92,62,38.2,8.1
Vietnam,East and Southeast Asia,5.763,9.287,0.821,65.502,0.939,-0.004,0.759,"104,799,174",17,111,35.7,24.73
Paraguay,South America,5.738,9.51,0.906,65.9,0.891,0.021,0.843,"7,439,863",117,121,43.5,23.86
Montenegro,Europe,5.722,9.813,0.89,67.1,0.805,0.063,0.844,"602,445",198,54,36.8,11
Jamaica,Central America and the Caribbean,5.703,9.165,0.867,66.6,0.822,-0.106,0.875,"2,820,982",89,129,35,26.02
Bolivia,South America,5.684,8.985,0.811,63.599,0.868,-0.063,0.846,"12,186,079",52,161,43.6,20.68
Russia,Central Asia,5.661,10.21,0.889,64.947,0.719,-0.03,0.801,"141,698,923",57,48,36,-2.87
Bosnia and Herzegovina,Europe,5.633,9.616,0.88,67.275,0.746,0.206,0.918,"3,807,764",169,28,33,11.57
Colombia,South America,5.63,9.584,0.822,69.35,0.804,-0.104,0.834,"49,336,454",166,112,54.2,24.71
Dominican Republic,Central America and the Caribbean,5.569,9.811,0.827,64.399,0.85,-0.099,0.657,"10,790,744",111,144,39.6,24.57
Ecuador,South America,5.559,9.27,0.806,69,0.802,-0.108,0.833,"17,483,326",58,151,47.3,21.07
Peru,South America,5.526,9.402,0.798,69.85,0.794,-0.119,0.892,"32,440,172",94,136,43.8,19.58
Philippines,East and Southeast Asia,5.523,8.979,0.78,62.038,0.919,-0.06,0.732,"116,434,200",26,165,42.3,26.61
Bulgaria,Europe,5.466,10.087,0.918,66.5,0.801,-0.057,0.911,"6,827,736",86,25,40.3,12.28
Nepal,South Asia,5.36,8.256,0.748,61.847,0.808,0.146,0.783,"30,899,443",171,156,32.8,14.39
Armenia,Middle East,5.342,9.615,0.79,67.789,0.796,-0.155,0.705,"2,989,091",154,69,25.2,8.64
Tajikistan,Central Asia,5.33,8.237,0.836,62.226,0.832,-0.06,0.522,"9,245,937",139,179,34,5.09
Algeria,Africa,5.329,9.3,0.855,66.549,0.571,-0.117,0.717,"44,758,398",182,143,27.6,24.11
Hong Kong S.A.R. of China,n/a,5.308,10.966,0.817,77.28,0.687,-0.026,0.385,n/a,n/a,n/a,n/a,n/a
Albania,Europe,5.277,9.567,0.718,69.15,0.794,-0.007,0.878,"3,101,621",179,90,30.8,13.31
Indonesia,East and Southeast Asia,5.277,9.385,0.804,63.048,0.88,0.531,0.876,"279,476,346",60,123,37.9,25.96
South Africa,Africa,5.275,9.478,0.907,56.989,0.73,-0.087,0.902,"58,048,332",216,135,63,18.42
Congo (Brazzaville),n/a,5.267,8.095,0.605,56.85,0.73,-0.004,0.739,n/a,n/a,n/a,n/a,n/a
North Macedonia,Europe,5.254,9.703,0.805,66.5,0.769,0.131,0.902,"2,133,410",190,59,33,n/a
Venezuela,South America,5.211,5.527,0.839,64.05,0.659,0.128,0.811,"30,518,260",110,126,39,25.52
Laos,East and Southeast Asia,5.111,8.962,0.679,60.946,0.919,0.091,0.703,"7,852,377",12,168,38.8,24.05
Georgia,Middle East,5.109,9.646,0.716,64.95,0.786,-0.254,0.649,"4,936,390",180,75,34.5,9.92
Guinea,Africa,5.072,7.88,0.649,54.185,0.659,0.125,0.787,"13,607,249",105,206,29.6,25.95
Ukraine,Europe,5.071,9.314,0.878,64.55,0.795,0.24,0.907,"43,306,477",168,15,25.6,10.04
Ivory Coast,n/a,5.053,8.576,0.572,55.953,0.733,0.003,0.746,n/a,n/a,n/a,n/a,26.84
Gabon,Africa,5.035,9.537,0.746,58.252,0.642,-0.187,0.786,"2,397,368",209,185,38,25.46
Nigeria,Africa,4.981,8.496,0.74,54.891,0.718,0.073,0.911,"230,842,743",51,207,35.1,27.15
Cameroon,Africa,4.973,8.217,0.686,55.847,0.686,0.015,0.846,"30,135,732",70,214,46.6,24.94
Mozambique,Africa,4.954,7.116,0.692,51.53,0.851,0.047,0.66,"32,513,805",63,220,54,24.42
Iraq,Middle East,4.941,9.098,0.718,63.415,0.646,-0.005,0.876,"41,266,109",199,182,29.5,23.81
State of Palestine,n/a,4.908,8.716,0.859,n/a,0.694,-0.132,0.836,n/a,n/a,n/a,n/a,n/a
Morocco,Africa,4.903,8.973,0.553,63.901,0.787,-0.231,0.811,"37,067,420",163,133,39.5,19.1
Iran,Middle East,4.876,9.61,0.778,66.6,0.593,0.173,0.747,"87,590,873",161,109,40.9,19.3
Senegal,Africa,4.855,8.155,0.629,59.999,0.772,0.011,0.846,"18,384,660",44,212,38.1,29
