Country,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,value,value_gini,ranking_unemployment,ranking_median_age,Average Temperature
China,9.738,0.836,68.689,0.882,-0.041,0.727,"1,413,142,846",38.2,92.0,62.0,
Vietnam,9.287,0.821,65.502,0.939,-0.004,0.759,"104,799,174",35.7,17.0,111.0,
Paraguay,9.51,0.906,65.9,0.891,0.021,0.843,"7,439,863",43.5,117.0,121.0,
Montenegro,9.813,0.89,67.1,0.805,0.063,0.844,"602,445",36.8,198.0,54.0,
Jamaica,9.165,0.867,66.6,0.822,-0.106,0.875,"2,820,982",35.0,89.0,129.0,
Bolivia,8.985,0.811,63.599,0.868,-0.063,0.846,"12,186,079",43.6,52.0,161.0,
Russia,10.21,0.889,64.947,0.719,-0.03,0.801,"141,698,923",36.0,57.0,48.0,
Bosnia and Herzegovina,9.616,0.88,67.275,0.746,0.206,0.918,"3,807,764",33.0,169.0,28.0,
Colombia,9.584,0.822,69.35,0.804,-0.104,0.834,"49,336,454",54.2,166.0,112.0,
Dominican Republic,9.811,0.827,64.399,0.85,-0.099,0.657,"10,790,744",39.6,111.0,144.0,
Ecuador,9.27,0.806,69.0,0.802,-0.108,0.833,"17,483,326",47.3,58.0,151.0,
Peru,9.402,0.798,69.85,0.794,-0.119,0.892,"32,440,172",43.8,94.0,136.0,
Philippines,8.979,0.78,62.038,0.919,-0.06,0.732,"116,434,200",42.3,26.0,165.0,
Bulgaria,10.087,0.918,66.5,0.801,-0.057,0.911,"6,827,736",40.3,86.0,25.0,
Nepal,8.256,0.748,61.847,0.808,0.146,0.783,"30,899,443",32.8,171.0,156.0,
Armenia,9.615,0.79,67.789,0.796,-0.155,0.705,"2,989,091",25.2,154.0,69.0,
Tajikistan,8.237,0.836,62.226,0.832,-0.06,0.522,"9,245,937",34.0,139.0,179.0,
Algeria,9.3,0.855,66.549,0.571,-0.117,0.717,"44,758,398",27.6,182.0,143.0,
Hong Kong S.A.R. of China,10.966,0.817,77.28,0.687,-0.026,0.385,,,,,
Albania,9.567,0.718,69.15,0.794,-0.007,0.878,"3,101,621",30.8,179.0,90.0,
Indonesia,9.385,0.804,63.048,0.88,0.531,0.876,"279,476,346",37.9,60.0,123.0,
South Africa,9.478,0.907,56.989,0.73,-0.087,0.902,"58,048,332",63.0,216.0,135.0,
Congo (Brazzaville),8.095,0.605,56.85,0.73,-0.004,0.739,,,,,
North Macedonia,9.703,0.805,66.5,0.769,0.131,0.902,"2,133,410",33.0,190.0,59.0,
Venezuela,5.527,0.839,64.05,0.659,0.128,0.811,"30,518,260",39.0,110.0,126.0,
Laos,8.962,0.679,60.946,0.919,0.091,0.703,"7,852,377",38.8,12.0,168.0,
Georgia,9.646,0.716,64.95,0.786,-0.254,0.649,"4,936,390",34.5,180.0,75.0,
Guinea,7.88,0.649,54.185,0.659,0.125,0.787,"13,607,249",29.6,105.0,206.0,
Ukraine,9.314,0.878,64.55,0.795,0.24,0.907,"43,306,477",25.6,168.0,15.0,
Ivory Coast,8.576,0.572,55.953,0.733,0.003,0.746,,,,,
Gabon,9.537,0.746,58.252,0.642,-0.187,0.786,"2,397,368",38.0,209.0,185.0,
Nigeria,8.496,0.74,54.891,0.718,0.073,0.911,"230,842,743",35.1,51.0,207.0,
Cameroon,8.217,0.686,55.847,0.686,0.015,0.846,"30,135,732",46.6,70.0,214.0,
Mozambique,7.116,0.692,51.53,0.851,0.047,0.66,"32,513,805",54.0,63.0,220.0,
Iraq,9.098,0.718,63.415,0.646,-0.005,0.876,"41,266,109",29.5,199.0,182.0,
State of Palestine,8.716,0.859,,0.694,-0.132,0.836,,,,,
Morocco,8.973,0.553,63.901,0.787,-0.231,0.811,"37,067,420",39.5,163.0,133.0,
Iran,9.61,0.778,66.6,0.593,0.173,0.747,"87,590,873",40.9,161.0,109.0,
Senegal,8.155,0.629,59.999,0.772,0.011,0.846,"18,384,660",38.1,44.0,212.0,
Mauritania,8.591,0.644,60.475,0.622,-0.013,0.657,"4,244,878",32.6,170.0,183.0,
Burkina Faso,7.667,0.663,55.461,0.696,0.095,0.771,"22,489,126",47.3,104.0,216.0,
Namibia,9.121,0.787,56.851,0.669,-0.126,0.83,"2,777,232",59.1,207.0,180.0,
Turkiye,10.307,0.796,68.663,0.475,-0.077,0.795,,,,,
Ghana,8.596,0.641,58.763,0.777,0.139,0.881,"33,846,114",43.5,53.0,189.0,
Pakistan,8.54,0.601,57.313,0.766,0.008,0.787,"247,653,551",29.6,108.0,178.0,
Niger,7.091,0.59,56.55,0.788,0.032,0.734,"25,396,840",37.3,4.0,227.0,
Tunisia,9.244,0.73,67.0,0.576,-0.213,0.907,"11,976,182",32.8,197.0,101.0,
Kenya,8.458,0.69,58.499,0.696,0.288,0.852,"57,052,004",40.8,116.0,194.0,
Sri Lanka,9.491,0.826,67.15,0.787,-0.03,0.808,"23,326,272",39.3,133.0,104.0,
Uganda,7.716,0.794,58.913,0.701,0.114,0.857,"47,729,952",42.7,40.0,226.0,
Chad,7.261,0.722,53.125,0.677,0.221,0.807,"18,523,165",37.5,9.0,223.0,
Cambodia,8.385,0.747,61.9,0.958,0.073,0.857,"16,891,245",37.9,3.0,152.0,
Benin,8.103,0.437,56.095,0.743,-0.043,0.576,"14,219,908",37.8,13.0,221.0,
Myanmar,8.404,0.787,61.388,0.727,0.491,0.658,,,,,
Bangladesh,8.685,0.544,64.548,0.845,0.005,0.698,"167,184,465",32.4,98.0,142.0,
Gambia,7.648,0.584,57.9,0.596,0.364,0.883,,,,,
Mali,7.655,0.593,55.403,0.713,-0.028,0.846,"21,359,722",36.1,48.0,224.0,
Egypt,9.367,0.726,63.503,0.732,-0.183,0.58,"109,546,720",31.5,142.0,175.0,
Togo,7.673,0.595,57.449,0.657,0.024,0.74,"8,703,961",42.4,23.0,196.0,
Jordan,9.13,0.729,67.6,0.77,-0.15,0.687,"11,086,716",33.7,203.0,171.0,
Ethiopia,7.739,0.782,60.698,0.72,0.273,0.789,"116,462,712",35.0,62.0,201.0,
Liberia,7.277,0.596,56.7,0.735,0.154,0.83,"5,506,280",35.3,45.0,205.0,
India,8.759,0.608,60.777,0.897,0.072,0.774,"1,399,179,585",35.7,84.0,139.0,
Madagascar,7.29,0.65,58.05,0.522,0.075,0.742,"28,812,195",42.6,50.0,193.0,
Zambia,8.074,0.694,55.032,0.791,0.098,0.818,"20,216,029",57.1,121.0,218.0,
Tanzania,7.857,0.653,59.401,0.838,0.182,0.554,"65,642,682",40.5,33.0,213.0,
Comoros,8.075,0.471,59.425,0.47,-0.014,0.727,"888,378",45.3,118.0,181.0,
Malawi,7.302,0.531,58.475,0.75,0.005,0.749,"21,279,597",38.5,97.0,202.0,
Botswana,9.629,0.753,54.725,0.742,-0.215,0.83,"2,417,596",53.3,211.0,159.0,
Congo (Kinshasa),7.007,0.652,55.375,0.664,0.086,0.834,,,,,
Zimbabwe,7.641,0.69,54.05,0.654,-0.046,0.766,"15,418,674",50.3,158.0,191.0,
Sierra Leone,7.394,0.555,54.9,0.66,0.105,0.858,"8,908,040",35.7,55.0,208.0,
Lebanon,9.478,0.53,66.149,0.474,-0.141,0.891,"5,331,203",31.8,178.0,89.0,
Afghanistan,7.324,0.341,54.712,0.382,-0.081,0.847,"39,232,003",29.4,193.0,203.0,
