Country,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Population,Ranking_unemployment,Ranking_median_age,Average Temperature
Jordan,9.13,0.729,67.6,0.77,-0.15,0.687,"11,086,716",203.0,171.0,19.77
Ethiopia,7.739,0.782,60.698,0.72,0.273,0.789,"116,462,712",62.0,201.0,23.45
Liberia,7.277,0.596,56.7,0.735,0.154,0.83,"5,506,280",45.0,205.0,25.47
India,8.759,0.608,60.777,0.897,0.072,0.774,"1,399,179,585",84.0,139.0,25.2
Madagascar,7.29,0.65,58.05,0.522,0.075,0.742,"28,812,195",50.0,193.0,22.7
Zambia,8.074,0.694,55.032,0.791,0.098,0.818,"20,216,029",121.0,218.0,21.92
Tanzania,7.857,0.653,59.401,0.838,0.182,0.554,"65,642,682",33.0,213.0,22.9
Comoros,8.075,0.471,59.425,0.47,-0.014,0.727,"888,378",118.0,181.0,23.74
Malawi,7.302,0.531,58.475,0.75,0.005,0.749,"21,279,597",97.0,202.0,22.55
Botswana,9.629,0.753,54.725,0.742,-0.215,0.83,"2,417,596",211.0,159.0,22.0
Congo (Kinshasa),7.007,0.652,55.375,0.664,0.086,0.834,n/a,n/a,n/a,n/a
Zimbabwe,7.641,0.69,54.05,0.654,-0.046,0.766,"15,418,674",158.0,191.0,21.83
Sierra Leone,7.394,0.555,54.9,0.66,0.105,0.858,"8,908,040",55.0,208.0,26.64
Lebanon,9.478,0.53,66.149,0.474,-0.141,0.891,"5,331,203",178.0,89.0,15.66
Afghanistan,7.324,0.341,54.712,0.382,-0.081,0.847,"39,232,003",193.0,203.0,14.48
